version,difficulty,syncSource,service,level,actionType,category,estimatedSavings,description,contentHash,automatedCheck,id,checkImplemented,tipId,actionLabel,title,cloud,implementedInAct,serviceKey,createdAt,drilldownInstructions,drilldownApis,provider,providerRouting,confidenceTag,positiveCount,source
,easy,,Azure AD,2,pending,cleanup,10-20%,Inactive guest users and orphaned app registrations can accumulate licensing costs. Audit last sign-in dates and remove accounts inactive for 90+ days using access reviews.,,,,false,azure-ad-002,Coming Soon,Remove stale guest accounts and app registrations,AZURE,false,Azure AD,,,,,,,,
,easy,,Azure Backup,2,pending,data-management,30-50%,"Review and reduce backup retention beyond compliance requirements. Keep daily backups for 7-14 days, weekly for 4-8 weeks, and monthly for 6-12 months instead of default aggressive retention.",,,,false,azure-backup-001,Coming Soon,Optimize backup retention policies,AZURE,false,Azure Backup,,,,,,,,
,medium,,Azure Backup,2,pending,storage-tiering,50-70%,Azure Backup supports Vault-Archive tier for recovery points retained longer than 6 months. Saves up to 70% on backup storage for long-term compliance retention scenarios.,,,,false,azure-backup-002,Coming Soon,Move long-term backup data to Vault-Archive tier,AZURE,false,Azure Backup,,,,,,,,
,easy,,Azure Backup,2,pending,cleanup,100%,Backup vaults continue storing (and billing for) recovery points after source VMs or databases are deleted. Remove stale backup items and soft-deleted data after retention period.,,,,false,azure-backup-003,Coming Soon,Delete backups for decommissioned resources,AZURE,false,Azure Backup,,,,,,,,
,medium,,Azure Cache for Redis,2,pending,right-sizing,30-50%,"Monitor cache hit ratio, memory usage, and connected clients. Downgrade from Premium to Standard tier or reduce cache size if memory utilization is consistently below 50%.",,,,false,azure-redis-001,Coming Soon,Right-size Redis cache tier and memory,AZURE,false,Azure Cache for Redis,,,,,,,,
,medium,,Azure Cache for Redis,2,pending,pricing-model,35-55%,Commit to 1 or 3-year reservations for Azure Cache for Redis to receive up to 55% discount over pay-as-you-go. Apply to stable production caching layers with predictable capacity needs.,,,,false,azure-redis-002,Coming Soon,Use Reserved Capacity for production Redis instances,AZURE,false,Azure Cache for Redis,,,,,,,,
,easy,,Azure Cache for Redis,2,pending,idle-resources,100%,Dev/test Redis instances often remain running after project completion. Identify caches with near-zero operations and delete or consolidate them to reduce monthly costs.,,,,false,azure-redis-003,Coming Soon,Delete unused Redis instances in non-production environments,AZURE,false,Azure Cache for Redis,,,,,,,,
1,medium,bedrock-ai,Azure Cosmos DB,3,advisory,right-sizing,15-40%,Analyze actual RU consumption using Azure Monitor and adjust provisioned throughput units accordingly. Implement auto-scaling for databases and containers with variable workloads to match actual usage.,e54d603a77aafdc9d5706933d89e9ad08601b5db30316727b45f65ab6764dc68,az cosmosdb show --name <database-name> --resource-group <resource-group-name> --query 'properties.autoUpgradeEnabled',azure cosmos db-001,false,azure cosmos db-001,View Details,Optimize Cosmos DB Throughput Units (RU),AZURE,,,2026-06-17T02:10:38.682068+00:00,,,,,,,
1,easy,bedrock-ai,Azure Cosmos DB,3,advisory,pricing-model,20-50%,Evaluate whether your Cosmos DB containers can use Serverless mode instead of Manual or Autoscale mode. Serverless mode charges only for actual usage and can save costs for low-traffic containers.,8f0910ebd6aa49d7f84bcac4fb4f7e2fb69bb9f90f4332ad4171dc89fa3ab33a,"az cosmosdb sql container list --account-name <account-name> --resource-group <resource-group> --query '[*].{name:name,resource:resource'",azure cosmos db-002,false,azure cosmos db-002,View Details,Optimize Cosmos DB capacity mode,AZURE,,,2026-06-22T02:10:38.387494+00:00,,,,,,,
,easy,,Azure Database for MySQL,2,pending,right-sizing,30-50%,Switch from General Purpose to Burstable tier for dev/test MySQL databases. Monitor InnoDB buffer pool hit ratio and CPU to validate smaller tier handles the workload adequately.,,,,false,azure-mysql-001,Coming Soon,Downgrade MySQL Flexible Server compute tier,AZURE,false,Azure Database for MySQL,,,,,,,,
,easy,,Azure Database for MySQL,2,pending,scheduling,50-70%,Use the stop/start capability of MySQL Flexible Server for non-production instances. Compute charges stop immediately while storage and backups remain intact.,,,,false,azure-mysql-002,Coming Soon,Stop MySQL Flexible Server during idle periods,AZURE,false,Azure Database for MySQL,,,,,,,,
,medium,,Azure Database for MySQL,2,pending,pricing-model,35-60%,Commit to 1 or 3-year reservations for MySQL Flexible Server compute resources. Provides up to 60% savings over pay-as-you-go pricing for steady-state production databases.,,,,false,azure-mysql-003,Coming Soon,Purchase Reserved Capacity for MySQL,AZURE,false,Azure Database for MySQL,,,,,,,,
1,medium,bedrock-ai,Azure Database for PostgreSQL,3,advisory,right-sizing,10-30%,Adjust the SKU of your PostgreSQL database to match your workload requirements.,03593773076e1405a9ab93da86cb38ee2d09ba2125176a882dc7439b772e3bb4,az sql server show --resource-group myResourceGroup --name myServer --query 'properties.fullyQualifiedDomainName' && az sql db show --resource-group myResourceGroup --server myServer --name myDatabase --query 'properties.sku',azure database for postgresql-001,false,azure database for postgresql-001,View Details,Right-size Azure Database for PostgreSQL,AZURE,,,2026-06-10T02:10:41.514447+00:00,Check CPU and connections. <20% CPU on General Purpose = move to Burstable. 0 connections = unused. Use stop/start for dev/test.,"[""az postgres flexible-server list"",""az monitor metrics list (cpu_percent, active_connections)""]",,,,,
,easy,,Azure Database for PostgreSQL,2,pending,right-sizing,30-50%,Monitor CPU and memory utilization and downgrade from General Purpose to Burstable tier for databases under 20% average CPU. Reduce vCores and storage to match actual workload requirements.,,,,false,azure-postgresql-001,Coming Soon,Right-size PostgreSQL Flexible Server tiers,AZURE,false,Azure Database for PostgreSQL,,,,,,,,
,easy,,Azure Database for PostgreSQL,2,pending,scheduling,50-70%,Azure Database for PostgreSQL Flexible Server supports stop/start. Schedule stops for dev/test databases during off-hours to eliminate compute charges while retaining data.,,,,false,azure-postgresql-002,Coming Soon,Stop PostgreSQL Flexible Server when not in use,AZURE,false,Azure Database for PostgreSQL,,,,,,,,
,medium,,Azure Database for PostgreSQL,2,pending,pricing-model,35-60%,Commit to 1 or 3-year reservations for Azure Database for PostgreSQL Flexible Server compute. Provides up to 60% discount over pay-as-you-go for production databases.,,,,false,azure-postgresql-003,Coming Soon,Use Reserved Capacity for PostgreSQL,AZURE,false,Azure Database for PostgreSQL,,,,,,,,
1,medium,bedrock-ai,Azure Databricks,3,advisory,right-sizing,10-30%,Regularly review and adjust the size of your Databricks clusters based on current workload requirements. Use autoscaling policies and set appropriate thresholds to avoid over-provisioning compute resources.,9b2838284c4797148eb49c07811420b1f2310a1d66c7128adcf725ee9a146567,az databricks cluster list --resource-group <resource-group> --workspace-name <workspace-name>,azure databricks-001,false,azure databricks-001,View Details,Right-size Databricks clusters,AZURE,,,2026-06-14T02:10:41.038397+00:00,Check cluster auto-termination settings. Idle clusters waste money. Use Spot instances for worker nodes. Consider serverless compute for SQL workloads.,"[""az databricks workspace list"",""az monitor metrics list (cluster usage)""]",,,,,
1,easy,bedrock-ai,Azure Databricks,3,advisory,scheduling,20-50%,"Enable auto-stop for Databricks clusters after a set period of inactivity (e.g., 30 minutes). Configure this in the cluster settings or via Azure PowerShell to avoid paying for idle compute resources.",ebbece0b9bf218ec1aafe7d7630117d3521a4e6f03e203b658381a809743507f,az databricks cluster list --resource-group <resource-group> --query '[?state==`Terminated`]',azure databricks-002,false,azure databricks-002,View Details,Auto-Stop Idle Databricks Clusters,AZURE,,,2026-06-16T02:10:38.123924+00:00,Check cluster auto-termination settings. Idle clusters waste money. Use Spot instances for worker nodes. Consider serverless compute for SQL workloads.,"[""az databricks workspace list"",""az monitor metrics list (cluster usage)""]",,,,,
,medium,,Azure Databricks,2,pending,pricing-model,60-80%,Configure Databricks clusters to use Spot/Low-Priority VMs for worker nodes with on-demand driver. Provides 60-80% savings on cluster compute costs for fault-tolerant data engineering jobs.,,,,false,azure-databricks-001,Coming Soon,Use Spot instances for Databricks worker nodes,AZURE,false,Azure Databricks,,,,,,,,
,easy,,Azure Databricks,2,pending,scheduling,30-50%,Set auto-termination to 10-20 minutes of inactivity. Use job clusters instead of interactive clusters for scheduled workloads — they terminate immediately after job completion.,,,,false,azure-databricks-002,Coming Soon,Configure aggressive auto-termination for Databricks clusters,AZURE,false,Azure Databricks,,,,,,,,
,medium,,Azure Databricks,2,pending,right-sizing,30-50%,"Photon-enabled clusters run queries 2-8x faster, allowing smaller clusters to handle the same workload. Profile jobs to find optimal node count and type instead of over-provisioning.",,,,false,azure-databricks-003,Coming Soon,Use Photon runtime and right-size cluster nodes,AZURE,false,Azure Databricks,,,,,,,,
,medium,,Azure Databricks,2,pending,architecture,40-60%,Databricks SQL Serverless warehouses start instantly and scale to zero when idle. Better cost model for interactive BI queries than keeping dedicated SQL warehouses running 24/7.,,,,false,azure-databricks-004,Coming Soon,Use Databricks SQL Serverless for BI queries,AZURE,false,Azure Databricks,,,,,,,,
1,hard,bedrock-ai,Azure DevOps,3,advisory,pricing-model,varies,"For organizations with strict data residency requirements, consider migrating from Azure DevOps Services (cloud) to Azure DevOps Server (on-premises). This eliminates cloud service costs while maintaining the same tooling capabilities.",f6ffa3bacf94ece9c290a9b245c8b71d7df7be70e48274b5b81944bbce575063,az devops show --org https://dev.azure.com/<organization-name> --query 'type',azure devops-001,false,azure devops-001,View Details,Leverage Azure DevOps Server for On-Premises,AZURE,,,2026-06-18T02:10:41.701385+00:00,Audit parallel jobs allocation. Free tier includes 1 parallel job. Check if self-hosted agents can replace Microsoft-hosted (cheaper for high volume). Remove unused projects.,"[""az devops project list"",""az pipelines list""]",,,,,
,medium,,Azure DevOps,2,pending,right-sizing,50-70%,Microsoft-hosted agents charge per-minute for parallel jobs. Use self-hosted agents on existing VMs or Spot instances for pipelines running hundreds of minutes daily to reduce costs.,,,,false,azure-devops-001,Coming Soon,Use self-hosted agents for high-volume CI/CD pipelines,AZURE,false,Azure DevOps,,,,,,,,
,easy,,Azure DevOps,2,pending,cleanup,10-30%,"Azure DevOps storage is free up to 2GB then charged per-GB. Set retention policies on build pipelines, delete old artifacts, and purge test attachments to stay within free tier.",,,,false,azure-devops-002,Coming Soon,Clean up old build artifacts and test attachments,AZURE,false,Azure DevOps,,,,,,,,
,easy,,Azure DevOps,2,pending,licensing,15-30%,"Basic plan users cost per-user/month. Audit user access levels, downgrade inactive users to Stakeholder (free), and remove departed team members to reduce licensing costs.",,,,false,azure-devops-003,Coming Soon,Audit and remove inactive Azure DevOps users,AZURE,false,Azure DevOps,,,,,,,,
1,easy,bedrock-ai,Azure Files,3,advisory,cleanup,$20/month,Identify and delete unused Azure Files shares to avoid unnecessary costs.,3fb702fe5b53406376cc8eeb903bbc17563623f87b98a92370aeff545e091e4b,"az storage share list --account-name myStorageAccount --query ""[].name"" | xargs -I {} az storage share delete --name {} --account-name myStorageAccount",azure files-001,false,azure files-001,View Details,Delete unused Azure Files shares,AZURE,,,2026-06-10T02:10:41.514447+00:00,Check tier (Premium/Transaction-optimized/Hot/Cool). For infrequent access: switch to Cool tier. Check provisioned vs used capacity on Premium shares.,"[""az storage share-rm list"",""az monitor metrics list (FileCapacity)""]",,,,,
,easy,,Azure Files,2,pending,storage-tiering,30-50%,"Azure Files offers Premium, Transaction-optimized, Hot, and Cool tiers. Move file shares with low access frequency to Cool tier. Reserve Premium only for latency-sensitive workloads.",,,,false,azure-files-001,Coming Soon,Use transaction-optimized or Cool tier for Azure Files,AZURE,false,Azure Files,,,,,,,,
,medium,,Azure Files,2,pending,pricing-model,30-50%,Azure File Sync keeps frequently accessed files on-premises while tiering cold data to Azure Files. Reduces on-premises storage costs while maintaining fast access to hot data.,,,,false,azure-files-002,Coming Soon,Use Azure File Sync to tier cold data to cloud,AZURE,false,Azure Files,,,,,,,,
1,medium,bedrock-ai,Azure Firewall,3,advisory,right-sizing,20-40%,Review Azure Firewall throughput usage metrics and scale down to the appropriate throughput unit tier if current usage is consistently below 50% of the provisioned capacity.,95243cf41c46057c3a1b6e3f3343f3e74f0c78d0c8910c11a4358078cdfb3989,az monitor metrics list --resource /subscriptions/<sub>/resourceGroups/<rg>/providers/Microsoft.Network/azureFirewalls/<firewall> --metric Throughput --interval PT1H,azure firewall-001,false,azure firewall-001,View Details,Scale down firewall throughput units,AZURE,,,2026-06-15T02:10:38.304135+00:00,"Each Premium = ~$1,752/mo. Check if Standard is sufficient. For dev/test: use NSGs instead (free). Consolidate via Firewall Manager.","[""az network firewall list"",""az monitor metrics list (Throughput, DataProcessed)""]",,,,,
1,hard,bedrock-ai,Azure Firewall,3,advisory,networking,5-15%,Create firewall policies with conditional routing rules to direct traffic efficiently and avoid unnecessary firewall processing. This reduces processing overhead and potential data transfer costs.,4c806d3bfff675df2e8ca8e8d7aecd745ace2bf3b9f49408e6e6741398f2c674,az network firewall policy list --resource-group <resource-group-name> --query 'FirewallPolicies[*].name',azure firewall-002,false,azure firewall-002,View Details,Implement Firewall Policy with Conditional Routing,AZURE,,,2026-06-17T02:10:38.682068+00:00,"Each Premium = ~$1,752/mo. Check if Standard is sufficient. For dev/test: use NSGs instead (free). Consolidate via Firewall Manager.","[""az network firewall list"",""az monitor metrics list (Throughput, DataProcessed)""]",,,,,
